Gene_Name,baseMean,log2FoldChange,lfcSE,pvalue,padj
Mrpl2,1108.9202807692973,0.08676715716369907,0.11696497013770354,0.003848708510453178,0.3413347176473697
Matk,7255.673528254508,0.08523461506188214,0.12613709065048265,0.0038949490112953336,0.34204907616350927
Pex11b,2132.151134228884,0.09455861654865262,0.06278103210942737,0.0038763599214930687,0.34204907616350927
Mme,588.5602794697197,-0.0849110859930317,0.12693390486984127,0.00392206185353401,0.34274994198078923
Hsp90b1,21903.397531250343,-0.09236621269494737,0.07811304125670142,0.004005805953734062,0.3466860563340373
Slc5a7,24.803465172745906,-0.06393034354680378,0.2014628876159563,0.004001819895123888,0.3466860563340373
Pmaip1,316.39472596290244,0.0820408909374791,0.14065224715610117,0.004042166441577961,0.34815101827340944
Sytl4,200.70098364191873,0.07817696855574484,0.15946173961055987,0.004106814012522564,0.3520266652360849
Kcnip1,950.8685140324901,-0.08623303657241234,0.10157268748494563,0.0042633997218077,0.3590215981596097
Tmem65,5131.936345183834,-0.09304563946833176,0.06639977266508344,0.004238867685015101,0.3590215981596097
Trim30d,41.40962531158258,-0.05740754460227324,0.20197283688521858,0.0042685794255091745,0.3590215981596097
Znf41-ps,166.37789065603357,-0.0681787373010162,0.18618424702176703,0.004265828521509749,0.3590215981596097
Frat2,489.8585871368285,0.07699427701970925,0.15374384931724783,0.004349689042262224,0.3641340149164847
Gypa,2.575952075676277,-0.02329976484483305,0.25072220736665907,0.004374703017596464,0.36452467237321234
Neat1,3760.992318588484,0.07679651446908702,0.15145629722853754,0.004422805391680341,0.36682666014793197
Zfp521,892.0114843174798,-0.0862151428913071,0.09600602167241264,0.004446266124661955,0.3670730766051563
Deaf1,2774.4434456382455,0.08968872321884636,0.07951473873018824,0.004493512596458217,0.3692719181905915
Btc,35.43233972762251,-0.054563195618829406,0.1986231193283103,0.004541569345766368,0.3699039680455878
P3h4,614.3881126720013,0.08275014188014829,0.11126578937782321,0.004542499188949445,0.3699039680455878
Klf15,1758.925463894686,0.0802565586104674,0.12389322448738992,0.004599205784507013,0.37282702094770653
Castor1,125.84969305202516,0.07421113986269968,0.15116120880520625,0.004727754963150374,0.37811486680731676
Ftsj3,1802.4093258519233,0.08635545846578496,0.0886298127658158,0.00472757921455707,0.37811486680731676
Gm715,178.45964991272717,0.0814550900879355,0.11223926690497088,0.004721045208247137,0.37811486680731676
Ttc39c,2449.2428408878445,0.08445200397140412,0.09606016974116431,0.004760768159053393,0.379062940308629
Aldoart2,11.774134361283169,0.04728425174540508,0.19621214476215815,0.0048406719563565,0.3820292427230251
Cib2,1189.953558159025,0.08000006530872947,0.11641829444490204,0.004833802633060992,0.3820292427230251
R3hdm1,12072.525040115344,-0.08126643839045906,0.10599708333339286,0.004954985620111183,0.38933582186092913
Cep126,1667.8099439251944,-0.08631692072540396,0.08350611768413377,0.005009326182489771,0.39062894892039707
