"gene_symbol","log2FoldChange_HTF_vs_WTF","log2FoldChange_KOM_vs_WTM","log2FoldChange_KOM_vs_HTF","log2FoldChange_WTM_vs_WTF","expressed_allele","allele_status"
"Kcnk9_JF1",0.000426586653192693,0.00389153176564912,0.004387514804148,0.00197971282929367,"Maternal","imprinted"
"Kcnq1ot1_129",-0.00194890417864548,0.0428339672758513,0.0126192328897328,-0.245351300242721,"Paternal","imprinted"
"Kcnq1ot1_JF1",-0.00026125181206998,-0.0156739154008966,0.00400114104856587,0.00208261866980117,"Paternal","active"
"Klf14_129",-0.000451745583315478,0.0135695256040021,0.00799553282581904,-0.0112429313797043,"Maternal","active"
"Klf14_JF1",0.00352389848113282,NA,-0.021326013350715,0,"Maternal","imprinted"
"Maged2_129",0.00197726734895961,0.0137129321612299,0.902041476067634,1.081032077105,"Maternal","active"
"Maged2_JF1",-0.000178613270987635,0,-12.107015272035,-12.4141021407874,"Maternal","imprinted"
"Magel2_129",-0.00370978445615342,-0.000611762363019464,0.0110484444469122,-0.00895851464763313,"Paternal","imprinted"
"Magel2_JF1",23.8316968992537,0.00362172899273581,-0.00384414704498656,20.2318991655351,"Paternal","active"
"Magi2_129",0.000249286918610041,-0.0316153200934,-0.0135450684782217,0.000811613950819773,"Paternal","imprinted"
"Magi2_JF1",0.00194353876306583,-0.0414355940549597,-0.050195235153219,0.0010444798948496,"Paternal","active"
"Meg3_129",0.00110481727749332,-0.349153343807966,-1.80673409535812,0.00724439467337389,"Maternal","active"
"Meg3_JF1",-0.00163050216751805,0.00830023663055456,0.0239223512040223,-0.0120040674211521,"Maternal","imprinted"
"Mest_129",-0.000916371385080549,0.00118427968008523,0.00622505200518954,-0.00378586156934116,"Paternal","imprinted"
"Mest_JF1",0.000340169306070469,0.0172752691369062,-0.00235898140718287,-0.0026244535743864,"Paternal","active"
"Mirg_129",0.00155632418098626,-0.138327378006835,-1.25687444445263,0.00733214364410276,"Maternal","active"
"Mirg_JF1",-0.0016355402193625,0.0064825841913466,0.0225262898666889,-0.0106485168674192,"Maternal","imprinted"
"Nap1l4_129",0.00185833232223614,0.0340922826051713,0.0086241374647782,0.000336713805882122,"Maternal","active"
"Nap1l4_JF1",-0.00165857548057843,0.00511174732336438,-0.00650918604533301,-0.0034526116521047,"Maternal","imprinted"
"Nnat_JF1",-0.000562228717924441,0.0256641172798135,0.00682669477903534,-0.00371197627059905,"Paternal","active"
"Pde10a_129",0.00335523742024834,-0.029456606173753,-0.0202449758459375,0.00842406319814782,"Maternal","active"
"Pde10a_JF1",0.00652772099496196,-0.00350146754882809,-0.0302187721440152,0.00110173976768129,"Maternal","imprinted"
"Peg10_JF1",0.000974567169258848,0.065626150939874,0.014923204603212,-0.00702552209987099,"Paternal","active"
"Peg13_129",0.00212624786782966,-0.120319167100059,-0.0439306719123915,0.10857738035726,"Paternal","imprinted"
"Peg13_JF1",0.000817155364641702,0.0816319878782855,0.0420085897083962,6.24347946578442e-05,"Paternal","active"
"Peg3_JF1",0.000301500352470395,0.0205182023023497,-0.00952426195046087,-0.000348780619230473,"Paternal","active"
"Plagl1_129",-0.00335477019927358,0.0241498979721681,0.0707526793320146,-0.00641665983750004,"Paternal","imprinted"
"Plagl1_JF1",-0.00207795020175293,0.0148467224214262,0.029314590973863,-0.00517033432580387,"Paternal","active"
"Pon2_129",-0.00360492331713185,-0.0075241784017116,0.0115751661068964,-0.00300028155141992,"Maternal","active"
