"gene_symbol","log2FC_HTF_vs_WTF","padj_HTF_vs_WTF","log2FC_KOM_vs_WTM","padj_KOM_vs_WTM","log2FC_KOM_vs_HTF","padj_KOM_vs_HTF","log2FC_WTM_vs_WTF","padj_WTM_vs_WTF","expressed_allele","allele_status"
"Kcnq1ot1_JF1",-0.00026125181206998,1,-0.0156739154008966,0.927539264247343,0.00400114104856587,1,0.00208261866980117,1,"Paternal","active"
"Klf14_129",-0.000451745583315478,1,0.0135695256040021,0.837435041576145,0.00799553282581904,0.974049547273724,-0.0112429313797043,1,"Maternal","active"
"Klf14_JF1",0.00352389848113282,1,0,NA,-0.021326013350715,0.972902486420036,0,1,"Maternal","imprinted"
"Maged2_129",0.00197726734895961,1,0.0137129321612299,0.963024233853273,0.902041476067634,5.14236959950689e-08,1.081032077105,2.94523780481042e-10,"Maternal","active"
"Maged2_JF1",-0.000178613270987635,1,0,1,-12.107015272035,6.70294506546569e-20,-12.4141021407874,4.87623561658274e-21,"Maternal","imprinted"
"Magel2_129",-0.00370978445615342,1,-0.000611762363019464,1,0.0110484444469122,0.989400818142494,-0.00895851464763313,1,"Paternal","imprinted"
"Magel2_JF1",23.8316968992537,7.08908411975468e-06,0.00362172899273581,0.975143379166832,-0.00384414704498656,1,20.2318991655351,6.48615543585649e-06,"Paternal","active"
"Magi2_129",0.000249286918610041,1,-0.0316153200934,0.874033223263927,-0.0135450684782217,0.986464148090474,0.000811613950819773,1,"Paternal","imprinted"
"Magi2_JF1",0.00194353876306583,1,-0.0414355940549597,0.810975955790978,-0.050195235153219,0.69844801740194,0.0010444798948496,1,"Paternal","active"
"Meg3_129",0.00110481727749332,1,-0.349153343807966,0.136445938017129,-1.80673409535812,0.0477927224999056,0.00724439467337389,1,"Maternal","active"
"Meg3_JF1",-0.00163050216751805,1,0.00830023663055456,0.880789412612333,0.0239223512040223,0.877131291423322,-0.0120040674211521,1,"Maternal","imprinted"
"Mest_129",-0.000916371385080549,1,0.00118427968008523,0.996877607990502,0.00622505200518954,0.989400818142494,-0.00378586156934116,1,"Paternal","imprinted"
"Mest_JF1",0.000340169306070469,1,0.0172752691369062,0.908100824288847,-0.00235898140718287,1,-0.0026244535743864,1,"Paternal","active"
"Mirg_129",0.00155632418098626,1,-0.138327378006835,0.244956430770243,-1.25687444445263,0.0742093803575182,0.00733214364410276,1,"Maternal","active"
"Mirg_JF1",-0.0016355402193625,1,0.0064825841913466,0.916736397397155,0.0225262898666889,0.917725188015363,-0.0106485168674192,1,"Maternal","imprinted"
"Nap1l4_129",0.00185833232223614,1,0.0340922826051713,0.869378261752139,0.0086241374647782,0.995914032177077,0.000336713805882122,1,"Maternal","active"
"Nap1l4_JF1",-0.00165857548057843,1,0.00511174732336438,0.995802969608973,-0.00650918604533301,0.998953373110755,-0.0034526116521047,1,"Maternal","imprinted"
"Nnat_129",-0.00650840289434447,NA,0.0148836867402492,NA,0.490974418641791,NA,-0.00563041636196005,NA,"Paternal","imprinted"
"Nnat_JF1",-0.000562228717924441,1,0.0256641172798135,0.873652123729899,0.00682669477903534,0.995914032177077,-0.00371197627059905,1,"Paternal","active"
"Pde10a_129",0.00335523742024834,1,-0.029456606173753,0.872739605817083,-0.0202449758459375,0.941591082433738,0.00842406319814782,1,"Maternal","active"
"Pde10a_JF1",0.00652772099496196,1,-0.00350146754882809,1,-0.0302187721440152,0.898815593480456,0.00110173976768129,1,"Maternal","imprinted"
"Peg10_129",24.1038728879594,NA,-0.00826852665997732,NA,-0.22253444734898,NA,18.3750908182606,NA,"Paternal","imprinted"
"Peg10_JF1",0.000974567169258848,1,0.065626150939874,0.317654323637167,0.014923204603212,0.9278086965062,-0.00702552209987099,1,"Paternal","active"
"Peg13_129",0.00212624786782966,1,-0.120319167100059,0.160658239709374,-0.0439306719123915,0.590037431474012,0.10857738035726,0.343908454957051,"Paternal","imprinted"
"Peg13_JF1",0.000817155364641702,1,0.0816319878782855,0.321360679296295,0.0420085897083962,0.806299769573056,6.24347946578442e-05,1,"Paternal","active"
"Peg3_129",0.00215120564423499,NA,-0.00733959986715787,NA,-0.189091866096904,NA,-0.00402443809094433,NA,"Paternal","imprinted"
"Peg3_JF1",0.000301500352470395,1,0.0205182023023497,0.937213150729019,-0.00952426195046087,0.995914032177077,-0.000348780619230473,1,"Paternal","active"
"Plagl1_129",-0.00335477019927358,1,0.0241498979721681,0.767641518943131,0.0707526793320146,0.406827105852701,-0.00641665983750004,1,"Paternal","imprinted"
"Plagl1_JF1",-0.00207795020175293,1,0.0148467224214262,0.887972476651854,0.029314590973863,0.77827106543658,-0.00517033432580387,1,"Paternal","active"
"Pon2_129",-0.00360492331713185,1,-0.0075241784017116,0.959998705837949,0.0115751661068964,0.957917275008392,-0.00300028155141992,1,"Maternal","active"
"Pon2_JF1",0.00532209420513472,1,-0.00597820622038968,0.980259177915935,-0.0289860756877074,0.798066109295477,0.00558709794263472,1,"Maternal","imprinted"
"Pon3_129",-0.00250702320973498,1,-0.10175190743358,0.191164550161149,-0.029050811273873,0.762554176242962,-0.000439867542370062,1,"Maternal","active"
