Gene_Allele,KO_M1,WT_M3,KO_M2,WT_F1,HT_F1,HT_F2,KO_M3,WT_M1,WT_M2,HT_F3,WT_F2,WT_F3,Allele_Source,Gene,Status,Expressed_Allele
Peg13_129,8,26,9,10,47,6,7,58,53,37,8,22,Maternal,Peg13,Imprinted,Paternal
Peg13_JF1,9782,9488,13556,13886,22288,13146,14859,13280,21263,13478,11443,15488,Paternal,Peg13,Imprinted,Paternal
Peg3_129,2,2,2,22,215,3,5,23,3,3,1,20,Maternal,Peg3,Imprinted,Paternal
Peg3_JF1,16120,16541,25695,25650,50798,21278,23391,22702,38087,21807,22474,27475,Paternal,Peg3,Imprinted,Paternal
Peg3os_129,4,2,8,4,17,12,5,12,16,9,8,1,Maternal,Peg3os,Imprinted,Paternal
Peg3os_JF1,0,0,0,0,0,0,0,0,0,0,0,0,Paternal,Peg3os,Imprinted,Paternal
Phlda2_129,4,0,0,1,0,0,0,0,0,0,0,0,Maternal,Phlda2,Imprinted,Maternal
Phlda2_JF1,0,0,0,0,0,0,0,0,0,0,0,0,Paternal,Phlda2,Imprinted,Maternal
Plagl1_129,198,122,182,196,142,146,177,52,238,39,188,161,Maternal,Plagl1,Imprinted,Paternal
Plagl1_JF1,3401,4081,7530,6237,9837,3372,5136,1615,7928,868,4748,6530,Paternal,Plagl1,Imprinted,Paternal
Platr20_129,0,0,0,0,1,0,0,0,0,0,0,0,Maternal,Platr20,Imprinted,Paternal
Platr20_JF1,0,0,0,0,0,0,0,0,0,0,0,0,Paternal,Platr20,Imprinted,Paternal
Pon2_129,182,729,868,1220,556,297,932,1218,587,911,794,1273,Maternal,Pon2,Imprinted,Maternal
Pon2_JF1,749,417,489,684,1999,1410,545,578,1956,549,505,658,Paternal,Pon2,Imprinted,Maternal
Pon3_129,193,440,61,971,778,270,131,678,721,169,139,824,Maternal,Pon3,Imprinted,Maternal
Pon3_JF1,130,220,86,520,360,113,33,244,363,30,51,321,Paternal,Pon3,Imprinted,Maternal
Ppp1r9a_129,9363,8355,13036,14149,23625,13537,14307,13085,22243,14613,11806,15702,Maternal,Ppp1r9a,Imprinted,Maternal
Ppp1r9a_JF1,8798,9134,13894,14222,20365,14225,15638,15209,21410,16208,12821,16348,Paternal,Ppp1r9a,Imprinted,Maternal
Prkn_129,162,205,288,165,581,227,375,121,565,124,104,311,Maternal,Prkn,Imprinted,Maternal
Prkn_JF1,169,294,288,333,357,381,396,311,586,336,340,339,Paternal,Prkn,Imprinted,Maternal
Qpct_129,218,265,462,368,675,235,408,416,617,365,329,437,Maternal,Qpct,Imprinted,Maternal
Qpct_JF1,291,345,457,445,811,357,346,271,665,202,481,446,Paternal,Qpct,Imprinted,Maternal
Rasgrf1_129,6604,7773,13617,8782,13703,10360,11107,11646,16248,11818,8516,11635,Maternal,Rasgrf1,Imprinted,Paternal
Rasgrf1_JF1,17114,22791,33919,29317,47472,28463,34009,29190,50293,29445,27420,33858,Paternal,Rasgrf1,Imprinted,Paternal
Rian_129,497,21444,660,892,59163,33840,859,24459,734,371,24882,1192,Maternal,Rian,Imprinted,Maternal
Rian_JF1,11772,119,22233,18806,67,30,22814,40,28272,16599,23,22409,Paternal,Rian,Imprinted,Maternal
Rtl1_129,56,11,20,15,0,14,9,13,22,4,11,27,Maternal,Rtl1,Imprinted,Paternal
Rtl1_JF1,0,0,0,0,242,0,0,0,0,0,0,0,Paternal,Rtl1,Imprinted,Paternal
Sall1_129,359,545,700,910,1240,754,54,71,941,731,827,54,Maternal,Sall1,Imprinted,Paternal
Sall1_JF1,469,678,908,917,1575,890,1511,1711,1424,802,873,1815,Paternal,Sall1,Imprinted,Paternal
Sfmbt2_129,326,424,306,256,528,127,395,362,268,214,158,583,Maternal,Sfmbt2,Imprinted,Paternal
Sfmbt2_JF1,217,266,425,467,934,287,404,316,584,457,355,411,Paternal,Sfmbt2,Imprinted,Paternal
Sgce_129,0,0,0,2,1,0,3,1,0,3,0,1,Maternal,Sgce,Imprinted,Paternal
Sgce_JF1,599,753,1166,1242,2097,1145,1087,1192,1885,1243,1027,1274,Paternal,Sgce,Imprinted,Paternal
Slc22a18_129,12,16,3,32,42,12,7,19,27,4,6,29,Maternal,Slc22a18,Imprinted,Maternal
Slc22a18_JF1,0,0,0,0,11,0,0,0,0,0,0,0,Paternal,Slc22a18,Imprinted,Maternal
Slc22a2_129,2,2,3,6,27,2,5,5,8,3,1,12,Maternal,Slc22a2,Imprinted,Maternal
Slc22a2_JF1,0,0,0,0,0,0,0,0,0,0,0,0,Paternal,Slc22a2,Imprinted,Maternal
Slc22a3_129,17,22,13,47,57,12,18,13,19,26,7,44,Maternal,Slc22a3,Imprinted,Maternal
Slc22a3_JF1,0,0,0,0,24,0,0,0,0,0,0,0,Paternal,Slc22a3,Imprinted,Maternal
Slc38a4_129,17,39,55,18,55,78,41,20,51,73,44,34,Maternal,Slc38a4,Imprinted,Paternal
Slc38a4_JF1,0,0,0,43,89,19,18,29,55,0,0,51,Paternal,Slc38a4,Imprinted,Paternal
Smoc1_129,677,430,745,411,2247,410,704,365,1068,266,425,777,Maternal,Smoc1,Imprinted,Paternal
Smoc1_JF1,433,198,602,348,1777,238,344,244,451,184,237,453,Paternal,Smoc1,Imprinted,Paternal
Smoc2_129,805,1023,1353,1818,1507,398,1618,1382,2210,1813,1682,1157,Maternal,Smoc2,Imprinted,Maternal
Smoc2_JF1,930,792,1174,1605,1538,392,1299,1546,2055,1845,1476,899,Paternal,Smoc2,Imprinted,Maternal
Snrpn_129,2,0,6,0,4,8,2,0,6,0,3,3,Maternal,Snrpn,Imprinted,Paternal
Snrpn_JF1,49,117,144,108,228,151,128,90,181,92,128,158,Paternal,Snrpn,Imprinted,Paternal
Snurf_129,0,0,0,0,0,0,0,0,0,0,0,0,Maternal,Snurf,Imprinted,Paternal
Snurf_JF1,0,0,0,0,0,0,0,0,0,0,0,0,Paternal,Snurf,Imprinted,Paternal
Snx14_129,1174,1336,1812,2215,3786,2126,2025,1794,2496,2003,1703,2691,Maternal,Snx14,Imprinted,Paternal
Snx14_JF1,976,1761,2164,2380,3318,2108,2279,2559,4169,1907,2288,2269,Paternal,Snx14,Imprinted,Paternal
