Gene_Name,WT_M1,WT_M2,WT_M3,WT_F1,WT_F2,WT_F3,HT_F1,HT_F2,HT_F3,KO_M1,KO_M2,KO_M3
Hacl1_JF1,143.5953757877421,173.28807380137147,174.82600475483142,169.22869525905298,162.36524678479856,190.6741171295137,155.47708400230275,154.1511416130737,187.51621209056424,130.612302718522,131.4094230430661,105.05778117830404
Hadh_129,573.4112641253756,624.8872964352486,607.6613552365511,701.7732334471463,561.5131451307617,582.5665421975465,607.3323593839951,530.9650433339206,535.0038819533048,420.3614340366225,521.4325906348863,527.2900064853926
Hadh_JF1,721.857835041082,675.4296512939819,609.0712423716707,705.5976107411361,506.26385976649,647.5890521864128,629.1963243218189,527.7535612169816,633.5293493229233,840.722868073245,577.1501860051465,548.3015627210534
Hadha_129,1906.5196852899544,2080.113279835402,2241.720544840177,2335.73843230433,2534.7019081404665,2301.269644065421,1751.546524463442,2382.9197307687646,2341.304117062977,1679.944445310645,1703.066122638137,1777.9778776556786
Hadha_JF1,2862.2051254989137,2773.9219692598326,2522.288084728979,3597.7829393209963,1811.9510526609117,2609.687225228828,2819.8441446198894,2036.0796621393486,2092.3419145698554,2333.005958903255,2614.5218808648438,2443.343825118271
Hadhb_129,1938.5375731345187,2011.1918868462203,1821.5741785745336,2041.261380667108,1623.6524678479857,1892.682250216463,1750.9391921040578,1844.461229161986,1809.4784759925635,1711.4715528633917,1648.3998026522215,1834.0086942841076
Hadhb_JF1,1485.4359481826566,1566.8130006207336,1739.8007247375963,2189.4560008092167,1682.284362520274,1997.2454757390997,1561.4514959762514,1757.7512120046322,1826.4290940346484,1217.5468678703603,1754.578616471019,1307.7192380956512
Hagh_129,974.1199816952235,1639.0163647046384,1862.4609054930022,1143.4888109029794,296.5420826694585,667.7987512370065,1560.8441636168675,1024.4627953035524,4.237654510521226,97.58390432993022,818.9435244043881,1259.6928238427122
Hagh_JF1,1781.3588509884764,1013.4726740504452,875.5399109092766,1450.3950887456688,2391.5047807677624,2011.3043968177735,1023.9623579214158,1919.3958118905637,2840.2879356768517,2050.76328176438,1641.0408749618098,1287.7082321569267
Haghl_129,1180.780894146501,1255.025746622054,1440.9046520922395,1254.3957524286866,1198.571231473895,1367.230074901029,1460.6343243185083,1428.0390479988912,1167.4738176485978,1717.476716206772,1403.4526380999462,1555.855711735836
Haghl_JF1,1630.0015629959917,1466.3846851222115,1862.4609054930022,1757.301366588358,1678.9017532122575,1747.6996265926393,1633.1167143835628,1489.0572082207327,1509.6644193731868,2217.406564543184,1666.2714841860784,1983.0906885276056
Hap1_129,2455.6749737755085,3568.158974182785,4569.44420492265,4539.535847966009,3734.400676050367,6892.38605881984,12201.307100024462,4819.364163486513,2185.5703138013223,9178.892170356821,7541.8496072876505,5383.961147813848
