Gene_Allele,Allele_Source,Gene,Status,Expressed_Allele,Sample,RawCount,Group,log2_count
Ccdc40_129,Maternal,Ccdc40,Imprinted,Paternal,HT_F2,145,HT Female,7.189824558880018
Ccdc40_129,Maternal,Ccdc40,Imprinted,Paternal,HT_F3,85,HT Female,6.426264754702098
Ccdc40_129,Maternal,Ccdc40,Imprinted,Paternal,KO_M1,73,KO Male,6.20945336562895
Ccdc40_129,Maternal,Ccdc40,Imprinted,Paternal,KO_M2,82,KO Male,6.3750394313469245
Ccdc40_129,Maternal,Ccdc40,Imprinted,Paternal,KO_M3,75,KO Male,6.247927513443585
Ccdc40_JF1,Paternal,Ccdc40,Imprinted,Paternal,WT_M1,91,WT Male,6.523561956057013
Ccdc40_JF1,Paternal,Ccdc40,Imprinted,Paternal,WT_M2,125,WT Male,6.977279923499917
Ccdc40_JF1,Paternal,Ccdc40,Imprinted,Paternal,WT_M3,49,WT Male,5.643856189774724
Ccdc40_JF1,Paternal,Ccdc40,Imprinted,Paternal,WT_F1,168,WT Female,7.400879436282184
Ccdc40_JF1,Paternal,Ccdc40,Imprinted,Paternal,WT_F2,38,WT Female,5.285402218862249
Ccdc40_JF1,Paternal,Ccdc40,Imprinted,Paternal,WT_F3,110,WT Female,6.794415866350106
Ccdc40_JF1,Paternal,Ccdc40,Imprinted,Paternal,HT_F1,193,HT Female,7.599912842187128
Ccdc40_JF1,Paternal,Ccdc40,Imprinted,Paternal,HT_F2,104,HT Female,6.714245517666122
Ccdc40_JF1,Paternal,Ccdc40,Imprinted,Paternal,HT_F3,0,HT Female,0
Ccdc40_JF1,Paternal,Ccdc40,Imprinted,Paternal,KO_M1,76,KO Male,6.266786540694901
Ccdc40_JF1,Paternal,Ccdc40,Imprinted,Paternal,KO_M2,49,KO Male,5.643856189774724
Ccdc40_JF1,Paternal,Ccdc40,Imprinted,Paternal,KO_M3,16,KO Male,4.087462841250339
Cd81_129,Maternal,Cd81,Imprinted,Maternal,WT_M1,7968,WT Male,12.960182981831874
Cd81_129,Maternal,Cd81,Imprinted,Maternal,WT_M2,12089,WT Male,13.561526624136485
Cd81_129,Maternal,Cd81,Imprinted,Maternal,WT_M3,7087,WT Male,12.791162888555018
Cd81_129,Maternal,Cd81,Imprinted,Maternal,WT_F1,10977,WT Female,13.422327623974558
